SessionName,StartTime,EndTime,Location_Lookup,Staff Lead,Type_Lookup,Roomset,A/V,F&B Needs,"PostTo
Web",Step and Repeat?,22x28 Sign?,American Flag,Soft Seating,Soft Seating Needs,Badge Scanning,Internal Notes
Finance Committee Lunch,7/11/2025 11:30am,7/11/2025 1:00pm,"""202 AB, 200 Level (Pennsylvania Convention Center)""","Janet Fernandes,Danny Melgoza","Meeting,Committee",U shape 40 - podium - 12'x8' stage (2) risers - stairs on each side of stage - (1) Head table of (4ppl) - (1) easel - add tall (2) cocktail round inside U shape for client owned owls.,"Podium mic - (1) LCD packages - (2) tabletop mics - (3) wireless mics on stands for Q&A - Audio Package - 
POWER DROP: (2) drops to (2) cocktail Round for (2) ""Owls"""," Dept Code: A03-10
 Acct Code: 5305  
1130AM-100PM
Premade Sandwiches -
 (5) Roasted Turkey
 (5) Grilled Chicken Salad
 (5) Italian Combo
 (5) The Cuban
 (5) Grilled Veggie Wrap
 (5) Vegan smashed Chickpea Wrap 30 ",,,checked,,,,,
NACo Annual Staff Lunch,7/11/2025 11:30am,7/11/2025 2:00pm,"""Room 302, 303, 304, Level 3 (Philadelphia Marriott Downtown)""",Leah Rivera,,RDS 80,,,,,,,,,,
Lunch Discussion: County Innovations in Addressing SUD (by invitation only),7/11/2025 12:00pm,7/11/2025 1:00pm,"""110 AB, 100 Level (Pennsylvania Convention Center)""","Annie Qing,Cara Hackett",,RDS 40 - podium - ,Podium Mic only,"1200PM-130PM 
Sardinia Hot Buffet 40 qty",,,,,,,,
Expanding FQHC Partnerships to Support Individuals Transitioning from Incarceration,7/11/2025 12:00pm,7/11/2025 1:30pm,"""Salon AB | Grand Ballroom, Level 5 (Philadelphia Marriott Downtown)""",,Affiliate,Affiliate,,,,,,,,,,
Intergovernmental Affairs Forum with the FIFA World Cup 2026,7/11/2025 1:30pm,7/11/2025 2:45pm,"""204 ABC, 200 Level (Pennsylvania Convention Center)""",Rick Hart,,CL224 TH 280 (504 total) (114 reg) -18'x8' stages (3) risers - stairs on each side of stage - (2) Head tables of (4ppl) - each placed to the left and right of a center podium - (1) tech table with (2) chairs - (6) 8' resource tables along back/side walls of room.  (1) easel,Podium mic - (2) LCD packages - (4) tabletop mics - (2) wireless mics on stands for Q&A - Audio Package,"Coffee, Coca Cola products ONLY ",checked,,,,,,,
Executive Committee,7/11/2025 2:00pm,7/11/2025 3:30pm,"""202 AB, 200 Level (Pennsylvania Convention Center)""",Marc Chavez,"Meeting,Committee",U shape 40 - podium - 12'x8' stage (2) risers - stairs on each side of stage - (1) Head table of (4ppl) - (1) easel - add tall (2) cocktail round inside U shape for client owned owls.,"Podium mic - (1) LCD packages - (2) tabletop mics - (3) wireless mics on stands for Q&A - Audio Package - 
POWER DROP: (2) drops to (2) cocktail Round for (2) ""Owls"""," Be Healthy 15 qty
Assorted Cookies & Brownies (GF) (dozen) 1 qty 
Assorted Cookies & Brownies (dozen) 1 qty
The Franklin 15 qty
Regular Coffee 1 qty
Decaf Coffee 0 qty
Tea 1 qty
Bottled Water (based on consumption) 20 qty
Assorted Soft Drink (based on consumption) include Diet Coke, Diet Dr. Pepper, Coke Zero 15 qty",,,,,,,,
Exhibit Hall Grand Opening,7/11/2025 4:30pm,7/11/2025 6:30pm,"""Hall A, 200 Level (Pennsylvania Convention Center)""","Darrin Crittington,Cara Hackett",Plenary / Conference-Wide Event,"100 chairs, theatre set, per diagram - 12'x8' stage (2) risers - stairs on each side of stage -Podium - (1) 8' table, skirted, on stage - NACo County Talks Stage area.
100 banquet rounds set in the rear of Hall A per diagram.
(1) 8' table and (2) chairs inside Hall A, on the right, be the entrance.
","Marx: Podium mic - (1) LCD packages - (2) tabletop mics - (2) wireless mics on stands for Q&A - Audio Package
POWER DROP: Mic for announcements thru PCC AV provider (Joseph). Location for mic TBD.",,checked,,,,,,,Ice cream social + Mummers performance
Colorado Caucus Meeting (by invitation only),7/11/2025 4:30pm,7/11/2025 6:30pm,"""Salon K | Grand Ballroom, Level 5 (Philadelphia Marriott Downtown)""",,Affiliate,Affiliate,,,checked,,,,,,,
Policy Coordinating Committee Meeting #2,7/11/2025 5:00pm,7/11/2025 5:30pm,"""203 AB, 200 Level (Pennsylvania Convention Center)""",Eryn Hurley,"Meeting,Committee",U shape for 30 - podium - 12'x8' stage (2) risers - stairs on each side of stage - (1) Head tables of (4ppl) - (1) Easel,Podium mic - (1) LCD packages - (2) tabletop mics - (2) wireless mics on stands for Q&A - Audio Package,,checked,,,,,,,
New Mexico Counties Delegates Reception (by invitation only),7/11/2025 5:00pm,7/11/2025 6:30pm,"""Room 307, Level 3 (Philadelphia Marriott Downtown)""",,Affiliate,Affiliate,,,checked,,,,,,,
National Association of County Administrators (NACA) Board Meeting (by invitation only),7/11/2025 5:00pm,7/11/2025 6:00pm,"""202 AB, 200 Level (Pennsylvania Convention Center)""",,Affiliate,U shape 40 - podium - 12'x8' stage (2) risers - stairs on each side of stage - (1) Head table of (4ppl) - (1) easel - add tall (2) cocktail round inside U shape for client owned owls.,Podium mic - (1) LCD packages - (2) tabletop mics - (2) wireless mics on stands for Q&A - Audio Package,,checked,,,,,,,
North Carolina Caucus,7/11/2025 5:00pm,7/11/2025 7:00pm,"""Howe, 33rd Floor (Loews Philadelphia Hotel)""",,Affiliate,Affiliate,,,checked,,,,,,,
Oregon & Washington Associations Reception ,7/11/2025 5:00pm,7/11/2025 7:00pm,"""Fogo de Chao, 1337 Chesnut Street""",,Affiliate,Affiliate,,,checked,,,,,,,
Past Presidents Dinner,7/11/2025 5:30pm,7/11/2025 7:30pm,Offsite,Marc Chavez,,offsite,,,,,,,,,,Rescheduled Past President's dinner to make it easier for the opening GS for Saturday (they can stay 1 or 2 nights and attend both)
Digital Counties Survey Awards Dinner,7/11/2025 6:00pm,7/11/2025 8:00pm,"""Salon CD | Grand Ballroom, Level 5 (Philadelphia Marriott Downtown)""",,Affiliate,Affiliate,,,checked,,,,,,,
All-conference Opening Reception,7/11/2025 7:00pm,7/11/2025 9:00pm,Offsite,Leah Rivera,"Reception,Plenary / Conference-Wide Event",offsite,,,checked,,,,,,,
END OF FRIDAY,,,,,,,,,,,,,,,,
Stay Fit in Philly | A Morning Workout Experience,7/12/2025 6:00am,7/12/2025 8:00am,"""12th Street | Taxi Lane, 100 Level (Street Level) (Pennsylvania Convention Center)""",Patrick Dougherty,,offsite,,,checked,,,,,,,
NACo Annual Staff Breakfast,7/12/2025 6:00am,7/12/2025 8:30am,"""Room 302, 303, 304, Level 3 (Philadelphia Marriott Downtown)""",Leah Rivera,,RDS 80,,,,,,,,,,
NACo Annual Staff Office,7/12/2025 7:00am,7/12/2025 5:00pm,"""304, 300 Level (Pennsylvania Convention Center)""",Leah Rivera,,"(4) 8' tables along wall, Power strip at (2) tables, (3) chairs at two (8)' tables only.  Add in center of room either (2) rounds with chairs or one conference table - whichever will fit most appropriately.
KEY Needed (15 qty)
MASTER KEY (8 qty)",POWER DROP: (4) and (4) power strips and (1) power drop for printer. ,,,,,,,,,
NACo Center Operations,7/12/2025 7:00am,7/12/2025 5:00pm,"""303A, 300 Level (Pennsylvania Convention Center)""","Kevin Carr,Phyllis Williams",,"(1) 8' tables along wall, (2) chairs. 
KEY Needed (3 qty)",POWER DROP: (3) drops one each for a commercial grade printers/copier and (1) power drop at 8' table and (1) power strip.,,,,,,,,,
Marx AV Storage #1,7/12/2025 7:00am,7/12/2025 7:00pm,"""100 A, 100 Level (Pennsylvania Convention Center)""",Leah Rivera,,"((2) 8' tables along wall, (3) chairs at two (8)' tables.  
KEY Needed (5qty)",POWER DROP: (1) at 8' table for Marx Team,,,,,,,,,
NACo Signage Storage,7/12/2025 7:00am,7/12/2025 7:00pm,"""101 , 100 Level (Pennsylvania Convention Center)""","Leah Rivera,Patrick Dougherty",,"2) 8' tables along wall, (3) chairs at two (8)' tables.  
Drop an extra 25 easels in this room.
KEY Needed (3 qty)",,,,,,,,,,
Web Cast/Film Room,7/12/2025 7:00am,7/12/2025 5:00pm,"""306, 300 Level (Pennsylvania Convention Center)""","Charlie Ban,Myava Mitchell",,"(2) 8' tables along wall with (2) chairs each.
KEY Needed (6 qty)
",POWER DROP: (2) and (2) power strip - one at each table.,,,,,,,,,
NACo Executive Back Up Office,7/12/2025 7:00am,7/12/2025 5:00pm,"""Conference Suite III, Level 3 (Philadelphia Marriott Downtown)""",Marc Chavez,,"Existing Board Table
KEY Needed",,,,,,,,,,
NACo Corporate Partners Meeting Room,7/12/2025 7:00am,7/12/2025 5:00pm,"""104 AB, 100 Level (Pennsylvania Convention Center)""",Cara Hackett,,"Conference (12ppl) with (1) 8' table w/2 chairs along wall and (2) rounds with (6) chairs. (1) Easel
KEY Needed (3qty)
",POWER DROP: (1) at 8' table and (1) power strip,,,,,,,,,
EDGE Annual Meeting Room,7/12/2025 7:00am,7/12/2025 5:00pm,"""305, 300 Level (Pennsylvania Convention Center)""",Beth Roberts,,"Conference (6ppl) with (1) 8' table w/2 chairs along wall. 
KEY Needed (5qty)",POWER DROP: (2) and (2) power strip - one at each table.,,,,,,,,,
CPI Meeting Room,7/12/2025 7:00am,7/12/2025 5:00pm,"""Room 309, Level 3 (Philadelphia Marriott Downtown)""",Christina Loukos,,"Conference (12ppl) w/(12) chairs, (1) 8' table w/(2) chairs along wall. 
KEY Needed
",(1) Power Strip,,,,,,,,,
Government Affairs Meeting Room,7/12/2025 7:00am,7/12/2025 5:00pm,"""Room 310, Level 3 (Philadelphia Marriott Downtown)""",Eryn Hurley,,"Conference (12ppl) w/(12) chairs, (1) 8' table w/(2) chairs along wall. 
KEY Needed
",(1) Power Strip,,,,,,,,,
Corcoran Expositions Booth,7/12/2025 7:00am,7/12/2025 5:00pm,"""Hall A, 200 Level (Pennsylvania Convention Center)""","Darrin Crittington,Cara Hackett",,,"Two (2) Monitors with compatible cords to MacBook's
One (1) Large monitor on a stand and with a laptop to run the floor plan on a loop. ",,,,,,,,,
NACo Executive Office,7/12/2025 7:00am,7/12/2025 5:00pm,"""303B, 300 Level (Pennsylvania Convention Center)""",Marc Chavez,,"(2) 8' tables along wall, (3) chairs at two (8)' tables only.  Add in center of room (2) rounds with 8 chairs each 
KEY Needed (5qty)","Color Printer
POWER DROP: (2) and (2) power strips, one on each 8' table, (1) drops and (1) power strips round table, (1) power drop for printer",,,,,,,,,
Marx AV Storage #2 ,7/12/2025 7:00am,7/12/2025 7:00pm,"""100 B, 100 Level (Pennsylvania Convention Center)""",Leah Rivera,,"(2) 8' tables along wall, (3) chairs at two (8)' tables.  
KEY Needed (5qty)",,,,,,,,,,
NACo Registration Open,7/12/2025 7:30am,7/12/2025 5:00pm,"""Grand Hall, 200 Level (Pennsylvania Convention Center)""",Michelle Stuckey,,(10) 8' tables with (1) chair each - to be set behind Registration in storage area.,,,checked,,,,,,,
Programs & Services Committee Meeting,7/12/2025 8:00am,7/12/2025 9:30am,"""202 AB, 200 Level (Pennsylvania Convention Center)""",Ashleigh Holand,"Meeting,Committee",RDS 60 - Podium - 12'x8' stage (2) risers - stairs on each side of stage - (1) Head table of (4ppl) - (1) easel,Podium mic - (1) LCD package - (4) tabletop mics - (2) wireless mics on stands for Q&A - Audio Package,"Dept Code: G01
Acct Code: 5305 
800AM-930AM
Daybreak - Continental Breakfast 40 qty",checked,,checked,,,,,
Southwest Border Counties Forum,7/12/2025 8:00am,7/12/2025 9:30am,"""109 AB, 100 Level (Pennsylvania Convention Center)""",Julia Cortina,Meeting,CL140 TH24 (164 total) -18'x8' stages (3) risers - stairs on each side of stage - (2) Head tables of (4ppl) - each placed to the left and right of a center podium - (1) tech table with (2) chairs. (2) 8' resource tables along back/side walls of room. (1) easel,Podium mic - (1) LCD package - (4) tabletop mics - (2) wireless mics on stands for Q&A - Audio Package,,checked,,,checked,,,,
Business of Counties,7/12/2025 8:00am,7/12/2025 9:30am,"""105 AB, 100 Level (Pennsylvania Convention Center)""",Teryn Zmuda,Meeting,"CL140 with TH for 24 (164 total) (76 reg) -18'x8' stages - stairs on each side of stage - (2) Head tables of (4ppl) - each placed to the left and right of a center podium - (1) tech booth with (2) chairs, (2) 8' resource tables outside of room. (1) easel outside room",Podium mic - (1) LCD package - (4) tabletop mics - (2) wireless mics on stands for Q&A - Audio Package,,,,,,,,,
WIR Board of Directors Meeting,7/12/2025 8:00am,7/12/2025 9:30am,"""Ballroom A, 300 Level (Pennsylvania Convention Center)""",Zeke Lee,"Meeting,Committee",Hollow Square 100 -18'x8' stages (3) risers - stairs on each side of stage - (2) Head tables of (4ppl) - each placed to the left and right of a center podium - (6) 8' resource tables along back/side walls of room. ,Podium mic - (1) LCD package - (4) tabletop mics - (2) wireless mics on stands for Q&A - Audio Package,,checked,,,,,,,
Retirement Readiness Advisory Council Meeting,7/12/2025 8:00am,7/12/2025 9:30am,"""203 AB, 200 Level (Pennsylvania Convention Center)""",Carlos Greene,"Meeting,Committee",U shape for 30 with 20 additional chairs along the wall - 12'x8' stage (2) risers - stairs on each side of stage - (1) Head tables of (4ppl) - (1) Easel,Podium mic - (1) LCD packages - (2) tabletop mics - (2) wireless mics on stands for Q&A - Audio Package," Dept Code: 30
 Acct Code: F02
 Project Code: 5305    
 Frittatas Hot Buffet 30 qty",checked,,,,,,,
IT Standing and FutureTech Joint Meeting,7/12/2025 8:00am,7/12/2025 9:30am,"""108 AB, 100 Level (Pennsylvania Convention Center)""",Rita Reynolds,"Meeting,Committee",CL 240 TH 76 (316 total)-18'x8' stages (3) risers - stairs on each side of stage - (2) Head tables of (4ppl) - each placed to the left and right of a center podium - (1) tech table and (2) chairs - (4) 8' resource tables along back/side walls of room. (1) easel,Podium mic - (2) LCD package - (4) tabletop mics - (2) wireless mics on stands for Q&A - Audio Package," Dept Code: I04
 Acct Code: 5305
Hot Buffet: The Traditional 80qty
A La Carte - By the Person: Assorted Individual Greek Yogurt 80 qty
A La Carte - By the Person: ADD Honey Almond Granola 80 qty",checked,,,,,,,
County Executive Roundtable ,7/12/2025 8:00am,7/12/2025 9:30am,"""107 AB, 100 Level (Pennsylvania Convention Center)""",Teryn Zmuda,"Meeting,Committee",CL140 TH24 (164 total) -18'x8' stages (3) risers - stairs on each side of stage - (2) Head tables of (4ppl) - each placed to the left and right of a center podium - (1) tech table with (2) chairs. (2) 8' resource tables along back/side walls of room. (1) easel,Podium mic - (1) LCD packages - (2) tabletop mics - (2) wireless mics on stands for Q&A - Audio Package,,,,,,,,,
Membership Committee,7/12/2025 8:00am,7/12/2025 9:30am,"""113 AB, 100 Level (Pennsylvania Convention Center)""","Grace Dunlap,Priscila Chrappah","Meeting,Committee",CL264 TH 89 (353 total) -18'x8' stages (3) risers - stairs on each side of stage - (2) Head tables of (4ppl) - each placed to the left and right of a center podium - (1) tech table with (2) chairs - (4) 8' resource tables along back/side walls of room. (1) Easel outside room.,Podium mic - (2) LCD packages - (4) tabletop mics - (2) wireless mics on stands for Q&A - Audio Package," Dept Code: Public Affairs
 Acct Code: M01
 Project Code: 4305   
800AM-930AM
Hot Buffet: The Traditional 65 qty",checked,,,,,,,
Comcast Office #1,7/12/2025 8:00am,7/12/2025 5:00pm,"""300, 300 Level (Pennsylvania Convention Center)""",,,"(3) 8' tables and (6) chairs. Tables to have black velour and skirting. 
MASTER KEY Needed (3 qty) for 300,301,302","POWER DROP: (2) drops - (1) power strip on 8' table and (1) power strip on conference table. 
",,,,,,,,,
Public Benefits Administration Listening Session,7/12/2025 8:00am,7/12/2025 9:00am,"""106 AB, 100 Level (Pennsylvania Convention Center)""",Shalini Wickramatilake,,Hollow Square for 20ppl,, Frittatas Hot Buffet 25qty,,,checked,,,,,
Comcast Office #2,7/12/2025 8:00am,7/12/2025 5:00pm,"""301, 300 Level (Pennsylvania Convention Center)""",,,"two 6-foot tables (6’ x 18”) with 6 chairs 
	one 60” round table with 8 chairs
	1 Cocktail Adjustable table (for make-up)
	1 barstool height char (for make-up) FREEMAN ORDER
MASTER KEY Needed (6 qty) for 300,301,30",POWER DROP: (1) drops - (1) power strip on 8' table ,,,,,,,,,
Conference Team Member Meeting Room,7/12/2025 8:00am,7/12/2025 5:00pm,"""Conference Suite II, Level 3 (Philadelphia Marriott Downtown)""",Leah Rivera,,"Existing
KEY Needed (3qty)",,,,,,,,,,
National Association of County Health Facilities (NACHFa) Meeting ,7/12/2025 8:00am,7/12/2025 9:30am,"""Room 307, Level 3 (Philadelphia Marriott Downtown)""",,Affiliate,Affiliate,,,checked,,,,,,,
Alabama Delegates Caucus,7/12/2025 8:00am,7/12/2025 9:30am,"""Salon C | Liberty Ballroom, Level 3 (Philadelphia Marriott Downtown)""",,Affiliate,Affiliate,,,checked,,,,checked,,,
NACE Executive Committee Meeting,7/12/2025 8:00am,7/12/2025 12:00pm,"""308, Level 3 (Philadelphia Marriott Downtown)""",Marc Chavez,Affiliate,Affiliate,,,,,,,,,,
Women of NACo Business Meeting and Program,7/12/2025 8:00am,7/12/2025 9:30am,"""Salon AB | Liberty Ballroom, Level 3 (Philadelphia Marriott Downtown)""",,Affiliate,Affiliate,,,checked,,,,,,,
Missouri Caucus,7/12/2025 8:00am,7/12/2025 9:30am,"""Salon J | Grand Ballroom, Level 5 (Philadelphia Marriott Downtown)""",,Affiliate,Affiliate,,,checked,,,,,,,
NACo Staff Quiet Office,7/12/2025 8:00am,7/12/2025 5:00pm,"""Room 305, Level 3 (Philadelphia Marriott Downtown)""",Leah Rivera,,Conference for 12ppl,(1) Power Strip,,,,,,,,,
Affiliate Exhibit Tables,7/12/2025 8:00am,7/12/2025 5:00pm,"""Foyer outside of Exhibit Hall A, 200 Level (Pennsylvania Convention Center)""",Darrin Crittington,Affiliate,"(10) qty 8' tables - (2) chairs each per Daniels diagram.
ADD: (1) 8' table and (2) chairs set in front of the columns to the left and right of the circular railing.
",None,,,,,,,,,
NACo Store,7/12/2025 8:00am,7/12/2025 5:00pm,"""Bridge over Arch St. - EAST, 200 Level (Pennsylvania Convention Center)""",,,(10) 8' tables with (1) chair each in storage area,POWER DROP: (2) smart counters (1 each) and (1) power drop in storage area behind Store. ,,checked,,,,,,,
NACo EDGE Solutions Center,7/12/2025 8:00am,7/12/2025 5:00pm,"""Bridge over Arch St. - WEST, 200 Level (Pennsylvania Convention Center)""",Beth Roberts,,(12) 8' tables with (2) chairs each for exhibitors. (2) 8' tables for storage area. ADD: (4) cocktails with (2) stools.,"POWER DROP: (1) EDGE booth, (1) TV monitor, (2) pieces of charging couches (1 each) and (1) PPP booth ",,checked,,,,,,,
NACo Resource Center,7/12/2025 8:00am,7/12/2025 5:00pm,"""Bridge over Arch St. - EAST, 200 Level (Pennsylvania Convention Center)""",,,(2) 8' tables with (1) chair each in storage area,"POWER DROP: (2) drops for (2) TV monitors, (2) drops at tall table and (4) for four charging chairs.",,checked,,,,,,,
Comcast Meal Room,7/12/2025 8:00am,7/12/2025 5:00pm,"""102 AB, 100 Level (Pennsylvania Convention Center)""",,,"(4-10) round tables, each with 10 chairs.  Based on F&B order to Jessica.",,,,,,,,,,
Comcast Office #3,7/12/2025 8:00am,7/12/2025 5:00pm,"""302, 300 Level (Pennsylvania Convention Center)""",,,"Conference for (6) ppl with chairs. (1) 8' table along one wall with (3) chairs. 
MASTER KEY Needed (6 qty) for 300,301,302",POWER DROP: (2) drops - (1) power strip on 8' table and (1) power strip on conference table. ,,,,,,,,,
Breakfast with the Exhibitors,7/12/2025 8:00am,7/12/2025 9:30am,"""Hall A, 200 Level (Pennsylvania Convention Center)""",Cara Hackett,,,Mic for announcements thru PCC AV provider. Location for mic TBD.,,checked,,,,,,,
Leading Through Crisis,7/12/2025 9:00am,7/12/2025 10:00am,"""Ballroom B, 300 Level (Pennsylvania Convention Center)""","Marc Chavez,Leah Rivera",,CL180 - Chevron per diagram provided -30'x8' stages (6) risers - stairs on each side of stage - (2) Head tables of (6ppl) - each placed to the left and right of a center podium - (8) 8' resource tables placed in the back of the room.,Podium mic - (2) LCD packages - (8) tabletop mics - (2) wireless mics on stands for Q&A - Audio Package,N/A,checked,,checked,checked,,N/A,,This session is for President Gore and Jenny his chief of staff
"Unlocking the Power of AI: Live Tool Showcase with NACo Corporate Premier Partner, Granicus",7/12/2025 9:00am,7/12/2025 10:30am,"""Hall A, 200 Level (Pennsylvania Convention Center)""",Cara Hackett,,,Mic for announcements thru PCC AV provider. Location for mic TBD.,,checked,,,,,,,
Rural Action Caucus Meeting,7/12/2025 10:00am,7/12/2025 11:45am,"""201 ABC, 200 Level (Pennsylvania Convention Center)""",Owen Hart,"Meeting,Committee",CL224 TH 280 (504 total) -18'x8' stages (3) risers - stairs on each side of stage - (2) Head tables of (4ppl) - each placed to the left and right of a center podium - (1) tech table with (2) chairs - (6) 8' resource tables along back/side walls of room. (1) easel,Podium mic - (2) LCD packages - (4) tabletop mics - (2) wireless mics on stands for Q&A - Audio Package,,checked,checked,,checked,,,,
Large Urban County Caucus Meeting,7/12/2025 10:00am,7/12/2025 11:45am,"""204 ABC, 200 Level (Pennsylvania Convention Center)""",Blaire Bryant,"Meeting,Committee",CL224 TH 280 (504 total) (114 reg) -18'x8' stages (3) risers - stairs on each side of stage - (2) Head tables of (4ppl) - each placed to the left and right of a center podium - (1) tech table with (2) chairs - (6) 8' resource tables along back/side walls of room.  (1) easel,Podium mic - (2) LCD packages - (4) tabletop mics - (2) wireless mics on stands for Q&A - Audio Package,,checked,checked,,checked,,,,
Midsize County Caucus Meeting,7/12/2025 10:00am,7/12/2025 11:45am,"""103 AB, 100 Level (Pennsylvania Convention Center)""",Brett Mattson,"Meeting,Committee",CL264 TH 89 (353 total) -18'x8' stages (3) risers - stairs on each side of stage - (2) Head tables of (4ppl) - each placed to the left and right of a center podium - (1) tech table with (2) chairs - (4) 8' resource tables along back/side walls of room. (1) Easel outside room.,"Podium mic - (2) LCD packages - (4) tabletop mics - (2) wireless mics on stands for Q&A - Audio Package
",,checked,,,checked,,,,
IT Standing and FutureTech Meeting,7/12/2025 10:00am,7/12/2025 11:45am,"""108 AB, 100 Level (Pennsylvania Convention Center)""",Rita Reynolds,"Meeting,Committee",CL 240 TH 76 (316 total)-18'x8' stages (3) risers - stairs on each side of stage - (2) Head tables of (4ppl) - each placed to the left and right of a center podium - (1) tech table and (2) chairs - (4) 8' resource tables along back/side walls of room. (1) easel,Podium mic - (2) LCD package - (4) tabletop mics - (2) wireless mics on stands for Q&A - Audio Package,,checked,,,,,,,
County Administrator Idea Exchange & Membership Meeting,7/12/2025 10:00am,7/12/2025 11:45am,"""111 AB, 100 Level (Pennsylvania Convention Center)""",,Affiliate,CL140 TH24 (164 total) -18'x8' stages (3) risers - stairs on each side of stage - (2) Head tables of (4ppl) - each placed to the left and right of a center podium - (1) tech table with (2) chairs. (2) 8' resource tables along back/side walls of room. (1) easel,Podium mic - (1) LCD package - (4) tabletop mics - (2) wireless mics on stands for Q&A - Audio Package,,checked,,,,,,,
National Association of Civil County Attorneys (NACCA) Meeting,7/12/2025 10:00am,7/12/2025 11:45am,"""202 AB, 200 Level (Pennsylvania Convention Center)""",,Affiliate,Affiliate,Existing,,checked,,,,,,,
National Association of County Human Services Administrators (NACHSA) Meeting,7/12/2025 10:00am,7/12/2025 11:45am,"""203 AB, 200 Level (Pennsylvania Convention Center)""",,Affiliate,U shape for 30 with 20 additional chairs along the wall - 12'x8' stage (2) risers - stairs on each side of stage - (1) Head tables of (4ppl) - (1) Easel,Podium mic - (1) LCD packages - (2) tabletop mics - (2) wireless mics on stands for Q&A - Audio Package,,checked,,,,,,,
Passport to Prizes Drawing #1 ,7/12/2025 11:00am,7/12/2025 11:15am,"""Hall A, 200 Level (Pennsylvania Convention Center)""",Cara Hackett,,,Mic for announcements thru PCC AV provider. Location for mic TBD.,,checked,,,,,,,
Startup Solutions for Counties ,7/12/2025 11:00am,7/12/2025 12:00pm,"""Hall A, 200 Level (Pennsylvania Convention Center)""",Cara Hackett,,,Mic for announcements thru PCC AV provider. Location for mic TBD.,,checked,,,,,,,
NACo Annual Staff Lunch,7/12/2025 11:30am,7/12/2025 2:00pm,"""Room 302, 303, 304, Level 3 (Philadelphia Marriott Downtown)""",Leah Rivera,,RDS 80,,,,,,,,,,
Opening Luncheon and General Session,7/12/2025 12:15pm,7/12/2025 2:00pm,"""Hall B, 200 Level (Pennsylvania Convention Center)""","Jack Peterson,Leah Rivera",Plenary / Conference-Wide Event,"Rounds, 1500 plus 300 in theatre - See Marx Diagram
GREEN ROOM: Add (2) rounds with linen and (6) chairs at each table. 
NACo STEP N REPEAT FOR GREEN ROOM. ",Marx,"11:50 PM DOORS OPEN
1230PM-1255PM EAT
 Smoked Airline Chicken Breast GF Plated (1500qty)",checked,checked,,,,,,Focus on history of NACo and our country; includes celebration with all living past presidents
Coffee Break and Passport to Prizes Drawing #2 ,7/12/2025 2:15pm,7/12/2025 2:30pm,"""Hall A, 200 Level (Pennsylvania Convention Center)""",Cara Hackett,,,Mic for announcements thru PCC AV provider. Location for mic TBD.,,checked,,,,,,,
Gulf States Counties and Parishes Caucus Meeting,7/12/2025 2:30pm,7/12/2025 4:30pm,"""108 AB, 100 Level (Pennsylvania Convention Center)""",Charlotte Mitchell Duyshart,"Meeting,Committee",CL 240 TH 76 (316 total)-18'x8' stages (3) risers - stairs on each side of stage - (2) Head tables of (4ppl) - each placed to the left and right of a center podium - (1) tech table and (2) chairs - (4) 8' resource tables along back/side walls of room. (1) easel,Podium mic - (2) LCD packages - (4) tabletop mics - (2) wireless mics on stands for Q&A - Audio Package,,checked,,,checked,,,,"don’t love this room, need to think about who is best to go in liberty "
Credentials Committee Meeting,7/12/2025 2:30pm,7/12/2025 4:30pm,"""203 AB, 200 Level (Pennsylvania Convention Center)""",Priscila Chrappah,"Meeting,Committee",U shape for 30 leave additional chairs from previous mtg- podium - 12'x8' stage (2) risers - stairs on each side of stage - (1) Head tables of (4ppl) - (1) Easel,Podium mic - (1) LCD packages - (2) tabletop mics - (2) wireless mics on stands for Q&A - Audio Package,,checked,,,,,,,
Great Lakes Regional Forum Meeting,7/12/2025 2:30pm,7/12/2025 4:30pm,"""107 AB, 100 Level (Pennsylvania Convention Center)""",Ben Gilsdorf,"Meeting,Committee",CL140 TH24 (164 total) -18'x8' stages (3) risers - stairs on each side of stage - (2) Head tables of (4ppl) - each placed to the left and right of a center podium - (1) tech table with (2) chairs. (2) 8' resource tables along back/side walls of room. (1) easel,Podium mic - (1) LCD package - (4) tabletop mics - (2) wireless mics on stands for Q&A - Audio Package,,checked,,,checked,,,,
International Economic Development Task Force Meeting,7/12/2025 2:30pm,7/12/2025 4:30pm,"""201 ABC, 200 Level (Pennsylvania Convention Center)""",Jack Callahan,"Meeting,Committee",CL224 TH 280 (504 total) -18'x8' stages (3) risers - stairs on each side of stage - (2) Head tables of (4ppl) - each placed to the left and right of a center podium - (1) tech table with (2) chairs - (6) 8' resource tables along back/side walls of room. (1) easel,Podium mic - (2) LCD packages - (4) tabletop mics - (2) wireless mics on stands for Q&A - Audio Package - NOTE (1) speaker will be zoomed into the meeting and displayed on the screen. ,,checked,,,,,,checked,
"Leveraging the Arts to Promote Community, Resilience and Emergency Preparedness – Hosted by the NACo Arts & Culture Commission",7/12/2025 2:30pm,7/12/2025 4:30pm,"""109 AB, 100 Level (Pennsylvania Convention Center)""",Patrick Spence,"Meeting,Committee",CL140 TH24 (164 total) -18'x8' stages (3) risers - stairs on each side of stage - (2) Head tables of (4ppl) - each placed to the left and right of a center podium - (1) tech table with (2) chairs. (2) 8' resource tables along back/side walls of room. (1) easel,Podium mic - (1) LCD package - (4) tabletop mics - (2) wireless mics on stands for Q&A - Audio Package,,checked,,checked,,,,,
